Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 0 (EN),v2/en_speaker_0,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_0.mp3
Speaker 1 (EN),v2/en_speaker_1,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_1.mp3
Speaker 2 (EN),v2/en_speaker_2,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_2.mp3
Speaker 3 (EN),v2/en_speaker_3,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_3.mp3
Speaker 4 (EN),v2/en_speaker_4,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_4.mp3
Speaker 5 (EN),v2/en_speaker_5,English,Male,Grainy,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_5.mp3
Speaker 6 (EN),v2/en_speaker_6,English,Male,Suno Favorite,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_6.mp3
Speaker 7 (EN),v2/en_speaker_7,English,Male,Very similar to Speaker 6 (EN),https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_7.mp3
Speaker 8 (EN),v2/en_speaker_8,English,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_8.mp3
Speaker 9 (EN),v2/en_speaker_9,English,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/en_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/en_speaker_9.mp3
